slug,name,category,tier,description,date_added,last_tested
cups-to-grams,Cups to Grams Converter,converters,3,Convert cups to grams for cooking and baking. Free converter with common cup to gram measurements for water and liquids.,2026-03-11,2026-03-11
cups-to-ml,Cups to Ml Converter,converters,3,Convert cups to millilitres instantly. Free cups to ml converter with common cooking measurement reference.,2026-03-11,2026-03-11
ml-to-cups,Ml to Cups Converter,converters,3,Convert millilitres to cups with our free tool. Handy for converting metric recipes to cup measurements.,2026-03-11,2026-03-11
tbsp-to-ml,Tablespoons to Ml Converter,converters,3,Convert tablespoons to millilitres for accurate cooking measurements. Free tbsp to ml converter.,2026-03-11,2026-03-11
pints-to-litres,Pints to Litres Converter,converters,3,Convert UK pints to litres quickly. Free pints to litres converter with common conversion values.,2026-03-11,2026-03-11
litres-to-pints,Litres to Pints Converter,converters,3,Convert litres to UK pints with our free tool. Includes a reference table of common conversions.,2026-03-11,2026-03-11
miles-to-km,Miles to Km Converter,converters,3,Convert miles to kilometres instantly. Free miles to km converter with common distance values including marathon distances.,2026-03-11,2026-03-11
km-to-miles,Km to Miles Converter,converters,3,Convert kilometres to miles quickly. Free km to miles converter with common distance reference table.,2026-03-11,2026-03-11
mph-to-kph,Mph to Kph Converter,converters,3,Convert miles per hour to kilometres per hour. Free mph to kph speed converter with common speed limits.,2026-03-11,2026-03-11
kph-to-mph,Kph to Mph Converter,converters,3,Convert kilometres per hour to miles per hour. Free kph to mph speed converter for travel and driving.,2026-03-11,2026-03-11
stone-to-lbs,Stone to Lbs Converter,converters,3,Convert stone to pounds instantly. Free stone to lbs converter with common body weight conversions.,2026-03-11,2026-03-11
lbs-to-stone,Lbs to Stone Converter,converters,3,Convert pounds to stone with our free tool. Shows results in stone and pounds format for easy reading.,2026-03-11,2026-03-11
gallons-to-litres,Gallons to Litres Converter,converters,3,Convert UK gallons to litres instantly. Free gallon to litre converter for fuel economy and liquid measurements.,2026-03-11,2026-03-11
litres-to-gallons,Litres to Gallons Converter,converters,3,Convert litres to UK gallons with our free tool. Handy for fuel economy calculations and recipe conversions.,2026-03-11,2026-03-11
tsp-to-ml,Teaspoons to Ml Converter,converters,3,Convert teaspoons to millilitres for precise cooking and baking. Free tsp to ml converter with common measurements.,2026-03-11,2026-03-11
ml-to-tsp,Ml to Teaspoons Converter,converters,3,Convert millilitres to teaspoons for cooking and medicine dosages. Free ml to tsp converter.,2026-03-11,2026-03-11
mortgage-calculator,Mortgage Calculator,finance,1,"Calculate your monthly mortgage payments, total interest and repayment cost. Compare rates and see how overpayments save you money.",2026-03-11,2026-03-11
savings-burndown,How Long Will My Savings Last?,finance,2,"Calculate how long your savings will last based on your monthly spending, income, inflation and interest. Visual countdown with milestones.",2026-03-11,2026-03-11
bmi-calculator,BMI Calculator,health,2,Calculate your Body Mass Index with our free BMI calculator. Supports metric and imperial units with a visual scale showing your healthy weight range.,2026-03-11,2026-03-11
word-counter,Word Counter,text,2,"Count words, characters, sentences and paragraphs in your text. Includes reading time, speaking time and word frequency analysis.",2026-03-11,2026-03-11
password-generator,Password Generator,developer,2,"Generate strong, secure passwords with customisable length and character options. Uses cryptographically secure randomisation.",2026-03-11,2026-03-11
cron-builder,Cron Expression Builder,developer,2,"Build and understand cron expressions with an interactive visual editor. Click to set schedules, see plain-English translations and next run times.",2026-03-11,2026-03-11
wifi-qr-generator,WiFi QR Code Generator,home,2,"Create a beautiful, printable QR code for your WiFi network. Guests scan to connect instantly — no typing passwords. Choose from 6 card styles and download a print-ready image.",2026-03-11,2026-03-11
percentage-calculator,Percentage Calculator,maths,2,"Calculate percentages easily — find X% of a number, percentage change, increase and decrease. Four calculators in one tool.",2026-03-11,2026-03-11
pop-star-name-generator,Pop Star Name Generator,fun,3,Discover your iconic pop star stage name based on your personality. Perfect for sharing on social media — screenshot your result!,2026-03-11,2026-03-11
rapper-name-generator,Rapper Name Generator,fun,3,Find your MC name based on where you're from and what you're about. Share your rapper alter ego with the world!,2026-03-11,2026-03-11
pirate-name-generator,Pirate Name Generator,fun,3,Arrr! Discover your swashbuckling pirate name and share it with your crew. Great for Talk Like a Pirate Day!,2026-03-11,2026-03-11
superhero-name-generator,Superhero Name Generator,fun,3,What's your superhero alter ego? Pick your power and discover the hero within. Share your result with friends!,2026-03-11,2026-03-11
band-name-generator,Band Name Generator,fun,3,Every legendary band needs a name. Find yours based on your vibe and genre. Screenshot and share with your bandmates!,2026-03-11,2026-03-11
steps-to-miles,Steps to Miles Converter,health,3,"Convert your step count into miles walked. Based on average stride length of 2.5 feet (2,112 steps per mile). Perfect for tracking fitness goals",2026-03-11,2026-03-11
miles-to-steps,Miles to Steps Converter,health,3,"Find out how many steps are in a mile, half marathon, or any distance. Based on average 2.5 ft stride length (2,112 steps per mile)",2026-03-11,2026-03-11
cubic-feet-calculator,Cubic Feet Calculator,maths,2,"Calculate volume in cubic feet from length, width and height. Supports feet, inches, cm, metres and yards with conversions to litres, gallons and more",2026-03-11,2026-03-11
grams-to-cups,Grams to Cups Converter,cooking,2,"Convert grams to cups for 15+ common cooking ingredients. Accurate conversions accounting for different ingredient densities — flour, sugar, butter and more",2026-03-11,2026-03-11
hourly-to-salary,Hourly to Salary Calculator,finance,2,"Convert hourly pay to annual salary or salary to hourly rate. See your earnings broken down by hour, day, week, bi-weekly, month and year",2026-03-11,2026-03-11
salary-visualizer,Salary Visualizer,fun,2,"See what your salary really means — how long it takes to earn everyday items, live earnings counter, and fun comparisons to UK averages",2026-03-11,2026-03-11
life-stats,Life Stats Calculator,fun,2,"Enter your birthday and discover mind-blowing stats about your life — heartbeats, breaths, full moons, steps taken, and milestones ahead",2026-03-11,2026-03-11
contrast-checker,Colour Contrast Checker,creative,2,Check if your text and background colours meet WCAG accessibility standards (AA & AAA). Auto-fix suggestions included,2026-03-11,2026-03-11
tip-calculator,Tip Calculator,finance,3,Calculate tip amount and split the bill between friends. Preset tip percentages for quick calculation with per-person breakdown,2026-03-11,2026-03-11
compound-interest-calculator,Compound Interest Calculator,finance,2,Calculate how your savings grow over time with compound interest. See year-by-year growth with optional monthly contributions,2026-03-11,2026-03-11
loan-repayment-calculator,Loan Repayment Calculator,finance,2,"Calculate monthly loan repayments, total interest and see how overpayments can save you time and money. Supports repayment and interest-only",2026-03-11,2026-03-11
stamp-duty-calculator,UK Stamp Duty Calculator,finance,2,"Calculate UK stamp duty land tax (SDLT) for your property purchase. Supports first-time buyers, home movers, additional properties and non-UK residents",2026-03-11,2026-03-11
discount-calculator,Discount Calculator,finance,3,"Calculate sale prices, discount amounts, and find original prices from discounted amounts. Two-way discount and reverse discount modes",2026-03-11,2026-03-11
markup-calculator,Markup Calculator,finance,3,"Calculate selling price from cost and markup percentage, or find your markup from cost and selling price. Shows profit and margin",2026-03-11,2026-03-11
profit-margin-calculator,Profit Margin Calculator,finance,3,Calculate profit margin and markup from revenue and cost. Understand the difference between margin and markup with clear explanations,2026-03-11,2026-03-11
roi-calculator,ROI Calculator,finance,3,Calculate return on investment (ROI) and annualised return (CAGR). Enter initial investment and final value to see your returns,2026-03-11,2026-03-11
pay-rise-calculator,Pay Rise Calculator,finance,3,Compare your old and new salary to see the real impact of a pay rise. Shows monthly and weekly difference with optional inflation adjustment,2026-03-11,2026-03-11
inflation-calculator,Inflation Calculator,finance,2,Calculate the effect of inflation on purchasing power. See what money was worth in the past or what it will be worth in the future,2026-03-11,2026-03-11
tdee-calculator,TDEE Calculator,health,2,"Calculate your Total Daily Energy Expenditure using the Mifflin-St Jeor equation. Get calorie targets for weight loss, maintenance and gain",2026-03-11,2026-03-11
calorie-deficit-calculator,Calorie Deficit Calculator,health,2,Calculate the daily calorie deficit needed to reach your goal weight in your chosen timeframe. Includes safety warnings and milestone tracking,2026-03-11,2026-03-11
protein-intake-calculator,Protein Intake Calculator,health,2,"Calculate your recommended daily protein intake based on your weight, activity level and fitness goals. See food equivalents and per-meal targets",2026-03-11,2026-03-11
body-fat-calculator,Body Fat Calculator,health,2,"Estimate your body fat percentage using the US Navy method. Shows fat mass, lean mass and body fat category with just a tape measure",2026-03-11,2026-03-11
pregnancy-due-date-calculator,Pregnancy Due Date Calculator,health,2,"Calculate your estimated due date from your last period or conception date. Track trimester milestones, weeks pregnant and days remaining",2026-03-11,2026-03-11
water-intake-calculator,Water Intake Calculator,health,3,"Calculate how much water you should drink daily based on your weight, activity level and climate. Shows glasses, litres and bottles",2026-03-11,2026-03-11
heart-rate-zone-calculator,Heart Rate Zone Calculator,health,2,Calculate your 5 heart rate training zones from your age and resting heart rate. Colour-coded zones from recovery to VO2 max,2026-03-11,2026-03-11
ideal-weight-calculator,Ideal Weight Calculator,health,2,"Calculate your ideal weight range using four medical formulas: Devine, Robinson, Miller and Hamwi. Adjusted for height, gender and frame size",2026-03-11,2026-03-11
age-calculator,Age Calculator,datetime,2,"Calculate your exact age in years, months and days. Plus total days alive, zodiac sign, Chinese zodiac, generation and next birthday countdown",2026-03-11,2026-03-11
date-difference-calculator,Date Difference Calculator,datetime,3,"Calculate the exact difference between two dates in years, months, days, weeks, business days and weekends",2026-03-11,2026-03-11
days-until-calculator,Days Until Calculator,datetime,3,"Count down the days until any date or event. Quick presets for Christmas, New Year, Easter and more. Shows weeks, months and sleeps",2026-03-11,2026-03-11
work-hours-calculator,Work Hours Calculator,datetime,2,"Calculate daily and weekly work hours with break deductions. Track overtime, see monthly estimates in both decimal and HH:MM formats",2026-03-11,2026-03-11
sleep-calculator,Sleep Calculator,datetime,2,Find the best time to sleep or wake up based on 90-minute sleep cycles. Get 5-6 complete cycles for optimal rest and energy,2026-03-11,2026-03-11
unix-timestamp-converter,Unix Timestamp Converter,datetime,3,"Convert Unix timestamps to human-readable dates and vice versa. Live current timestamp display with local time, UTC and ISO formats",2026-03-11,2026-03-11
timezone-converter,Timezone Converter,datetime,2,"Convert times between 20+ world timezones instantly. Quick buttons for popular routes like London to New York, London to Tokyo",2026-03-11,2026-03-11
json-formatter,JSON Formatter & Validator,developer,2,"Format, minify and validate JSON with syntax highlighting. Shows error locations, key count, nesting depth and size stats",2026-03-11,2026-03-11
base64-converter,Base64 Encoder / Decoder,developer,3,Encode text to Base64 or decode Base64 back to text. Supports UTF-8 with auto-convert mode and copy buttons,2026-03-11,2026-03-11
url-encoder,URL Encoder / Decoder,developer,3,Encode and decode URLs and query parameters. Supports encodeURIComponent for params and encodeURI for full URLs,2026-03-11,2026-03-11
uuid-generator,UUID Generator,developer,3,"Generate random UUID v4 identifiers. Bulk generation up to 100, with options for uppercase and with or without hyphens",2026-03-11,2026-03-11
hash-generator,Hash Generator,developer,3,"Generate MD5, SHA-1, SHA-256 and SHA-512 hashes from any text. All four algorithms calculated simultaneously with copy buttons",2026-03-11,2026-03-11
lorem-ipsum-generator,Lorem Ipsum Generator,developer,3,"Generate placeholder lorem ipsum text by paragraphs, sentences or words. Copy to clipboard with word and character count display",2026-03-11,2026-03-11
meta-tag-previewer,Meta Tag Previewer,developer,2,"Preview how your page will appear in Google search results, Twitter cards and Facebook shares. Generate HTML meta tags with character warnings",2026-03-11,2026-03-11
robots-txt-generator,Robots.txt Generator,developer,2,Build a robots.txt file visually with rules for different bots. Quick presets for common configurations including AI crawler blocking,2026-03-11,2026-03-11
markdown-preview,Markdown Preview,developer,2,"Write markdown and see a live rendered preview side by side. Supports headers, bold, italic, links, images, code blocks, lists and more",2026-03-11,2026-03-11
regex-tester,Regex Tester,developer,2,"Test regular expressions with live match highlighting, captured groups and match positions. Quick-insert buttons for common patterns",2026-03-11,2026-03-11
case-converter,Case Converter,text,3,"Convert text between 10 different cases: UPPER, lower, Title, Sentence, camelCase, PascalCase, snake_case, kebab-case, CONSTANT_CASE, dot.case",2026-03-11,2026-03-11
text-diff,Text Diff Tool,text,2,"Compare two texts and see the differences highlighted line by line. Shows added, removed and unchanged lines with summary stats",2026-03-11,2026-03-11
character-counter,Character Counter,text,3,"Count characters, words, sentences, paragraphs and more in real time. Shows reading level, character frequency and average word length",2026-03-11,2026-03-11
string-repeater,String Repeater,text,3,"Repeat any text up to 1,000 times with configurable separators. Useful for generating test data, patterns and repeated content",2026-03-11,2026-03-11
remove-duplicate-lines,Remove Duplicate Lines,text,3,"Remove duplicate lines from text with options for case sensitivity, whitespace trimming and sorting. Shows duplicate count and stats",2026-03-11,2026-03-11
area-calculator,Area Calculator,maths,2,"Calculate the area of rectangles, circles, triangles, trapezoids, ellipses and parallelograms. Shows formula and step-by-step working",2026-03-11,2026-03-11
fraction-calculator,Fraction Calculator,maths,2,"Add, subtract, multiply and divide fractions with step-by-step working. Shows results as improper fraction, mixed number and decimal",2026-03-11,2026-03-11
random-number-generator,Random Number Generator,maths,2,"Generate random numbers, roll dice, flip coins and pick random colours. Bulk generation with configurable ranges and duplicate control",2026-03-11,2026-03-11
standard-deviation-calculator,Standard Deviation Calculator,maths,2,"Calculate mean, median, mode, variance and standard deviation for any dataset. Shows step-by-step working and visual distribution",2026-03-11,2026-03-11
pythagorean-theorem-calculator,Pythagorean Theorem Calculator,maths,3,Find the missing side of a right triangle or check if three sides form a right triangle. Visual SVG diagram with step-by-step working,2026-03-11,2026-03-11
electricity-cost-calculator,Electricity Cost Calculator,home,2,"Calculate how much any appliance costs to run per hour, day, week, month and year. Add multiple appliances for total household running costs",2026-03-11,2026-03-11
oven-temperature-converter,Oven Temperature Converter,cooking,3,"Convert between Celsius, Fahrenheit, Gas Mark and Fan Oven temperatures. Reference table of common cooking temperatures included",2026-03-11,2026-03-11
recipe-unit-converter,Recipe Unit Converter,cooking,2,"Convert between metric and American cooking measurements. Ingredient-aware mode for accurate cup-to-gram conversions for flour, sugar, butter and more",2026-03-11,2026-03-11
time-calculator,Time Calculator,datetime,2,"Add and subtract hours, minutes and seconds. Running total mode for timesheets, or calculate the time between two clock times",2026-03-11,2026-03-11
square-footage-calculator,Square Footage Calculator,home,2,"Calculate area in square feet for any shape — rectangles, circles, triangles and irregular rooms. Includes material cost estimator with wastage",2026-03-11,2026-03-11
percent-change-calculator,Percent Change Calculator,maths,3,"Calculate the percentage change between two values. Shows increase or decrease with colour coding, absolute change and the formula used",2026-03-11,2026-03-11
percentage-increase-calculator,Percentage Increase Calculator,maths,3,"Calculate a value after a percentage increase, or find what percentage increase goes from one value to another. Two-way calculation with formula",2026-03-11,2026-03-11
percentage-decrease-calculator,Percentage Decrease Calculator,maths,3,"Calculate a value after a percentage decrease, or find what percentage decrease goes from one value to another. Two-way calculation with formula",2026-03-11,2026-03-11
percentage-difference-calculator,Percentage Difference Calculator,maths,3,"Calculate the percentage difference between two values. Unlike percent change, this is order-independent and uses the average as the base",2026-03-11,2026-03-11
mixed-numbers-calculator,Mixed Numbers Calculator,maths,2,"Add, subtract, multiply and divide mixed numbers and fractions. Convert between mixed numbers, improper fractions and decimals with step-by-step working",2026-03-11,2026-03-11
construction-calculator,Construction Calculator,home,1,"A full-featured construction calculator inspired by the Construction Master Pro. Feet-inches-fractions, area, volume, pitch/rise/run, stairs and circles",2026-03-11,2026-03-11
interior-palette-creator,Interior Palette Creator,creative,1,"Create harmonious colour palettes for any room using the 60-30-10 rule. Choose room type, mood, and customise with an interactive colour picker",2026-03-11,2026-03-11
wedding-seating-planner,Wedding Seating Planner,wedding,1,"Plan your wedding reception seating with drag-and-drop floor plans, guest management, dietary tracking and table assignments for up to 200 guests",2026-03-11,2026-03-11
dice-roller,Dice Roller,games,2,"Roll multiple dice instantly. Choose from d4, d6, d8, d10, d12, d20, or d100. Perfect for tabletop RPGs, board games, and game nights.",2026-03-11,2026-03-11
coin-flip,Coin Flip Simulator,games,2,Flip one or multiple coins with realistic animations. See heads/tails results and flip history with running statistics.,2026-03-11,2026-03-11
number-picker,Number Picker,games,2,"Generate random numbers with custom min/max range. Options to allow duplicates, sort results, and generate quantities up to 1000.",2026-03-11,2026-03-11
would-you-rather,Would You Rather,games,2,Discover funny and thought-provoking 'Would You Rather' dilemmas. See what percentage of people chose each option.,2026-03-11,2026-03-11
truth-or-dare,Truth or Dare Generator,games,2,"Generate random truth questions and dare challenges. Choose intensity (mild, medium, spicy) with kids mode for family-friendly fun.",2026-03-11,2026-03-11
never-have-i-ever,Never Have I Ever,games,2,"Play 'Never Have I Ever' with friends. Track scores for up to 10 players and choose from innocent, adventurous or spicy statements.",2026-03-11,2026-03-11
spin-the-wheel,Spin The Wheel,games,2,"Create a custom spinning wheel with your own items. Add, edit, and spin for random selection. Perfect for decisions and game nights.",2026-03-11,2026-03-11
rock-paper-scissors,Rock Paper Scissors Game,games,2,"Play rock-paper-scissors against the computer. Choose your best of 1, 3, 5, or 7 with full stats tracking and choice history.",2026-03-11,2026-03-11
trivia-quiz,Trivia Quiz,games,2,"Quick 10-question trivia quizzes across five categories: general knowledge, science, history, geography, and pop culture.",2026-03-11,2026-03-11
charades-generator,Charades Generator,games,2,"Generate random charades prompts from movies, TV shows, animals, actions, and objects. Three difficulty levels with built-in timer.",2026-03-11,2026-03-11
guess-the-name-game,Guess the Name Game,games,2,"Generate printable entry slips for 'Guess the Mystery Item' games at fairs, parties, and events. Includes organiser answer card and customizable number of slips.",2026-03-11,2026-03-11
bingo-card-generator,Bingo Card Generator,games,1,"Create custom bingo cards with configurable grids (3x3 to 5x5) and themes (numbers, Christmas, Halloween, baby shower, wedding). Generate up to 30 unique cards with caller sheet.",2026-03-11,2026-03-11
raffle-ticket-picker,Raffle Ticket Picker,games,2,"Draw random raffle winners from your total tickets. Beautiful animated raffle ticket displays, no duplicate winners, and draw history tracking.",2026-03-11,2026-03-11
random-name-picker,Random Name Picker,games,2,"Pick a random name from a list with animated slot machine effect. Paste names from Excel/Sheets, remove picked names, and track pick history.",2026-03-11,2026-03-11
random-number-picker,Random Number Picker,games,2,"Generate random numbers with visual game show animation. Set custom range, toggle no-repeat mode, and view pick history. Includes presets for 1-10, 1-100, 1-1000.",2026-03-11,2026-03-11
baby-name-generator,Baby Name Generator,parenting,2,"Discover the perfect baby name. Filter by gender, style (classic/modern/unique), and starting letter. Build a shortlist of your favorites with meanings.",2026-03-11,2026-03-11
chore-chart-generator,Chore Chart Generator,parenting,2,Create age-appropriate weekly chore charts for your kids. Automatically rotates chores between children and matches tasks to their age group.,2026-03-11,2026-03-11
screen-time-calculator,Screen Time Calculator,parenting,2,Calculate recommended daily screen time for your child based on age and WHO/AAP guidelines. See how discretionary time is allocated and get tips for healthy habits.,2026-03-11,2026-03-11
grade-calculator,Grade Calculator,education,2,"Track your grades with weighted assignments. Calculate your current grade, see what you need on the final, and monitor progress towards your goal grade.",2026-03-11,2026-03-11
reading-level-checker,Reading Level Checker,education,2,"Analyze text readability using Flesch-Kincaid, Gunning Fog, and Coleman-Liau indices. Get a grade level and see if your writing matches your target audience.",2026-03-11,2026-03-11
flashcard-maker,Flashcard Maker,education,2,"Create and study flashcards online. Build your deck with question/answer pairs, shuffle for randomized study sessions, and track which cards you know.",2026-03-11,2026-03-11
packing-list-generator,Packing List Generator,travel,2,"Generate a customized packing checklist for your trip based on destination type, duration, and planned activities. Never forget an essential item again.",2026-03-11,2026-03-11
timezone-meeting-planner,Timezone Meeting Planner,travel,2,Find the best time to meet across multiple time zones. Visualize working hours overlap and see local times for all participants instantly.,2026-03-11,2026-03-11
travel-budget-calculator,Travel Budget Calculator,travel,2,"Plan your trip budget by destination and travel style. Get a detailed breakdown of costs for accommodation, food, activities, and transport.",2026-03-11,2026-03-11
business-profit-calculator,Business Profit Calculator,business,2,"Calculate profit margins, markup percentages, and break-even prices. Know exactly how much you're earning on each sale or what price you need to hit your profit target.",2026-03-11,2026-03-11
meeting-cost-calculator,Meeting Cost Calculator,business,2,See the real cost of meetings in real-time. Add attendees and hourly rates to understand how much each minute costs. Includes live timer for ongoing meetings.,2026-03-11,2026-03-11
email-subject-line-tester,Email Subject Line Tester,business,2,"Score your email subject lines on openability and deliverability. Get instant feedback on length, power words, spam triggers, and actionable improvements.",2026-03-11,2026-03-11
christmas-countdown,Christmas Countdown,seasonal,2,"Live countdown to Christmas with days, hours, minutes, and seconds. Shows year progress and fun festive facts.",2026-03-11,2026-03-11
halloween-costume-generator,Halloween Costume Generator,seasonal,2,"Generate random Halloween costume ideas by style (scary, funny, creative, group) and age group. Get material lists and budget breakdown.",2026-03-11,2026-03-11
new-year-resolution-generator,New Year Resolution Generator,seasonal,2,"Generate personalized New Year resolutions across health, career, relationships, finance, and hobbies. Track which ones you commit to.",2026-03-11,2026-03-11
fuel-cost-calculator,Fuel Cost Calculator,automotive,2,"Calculate fuel costs for a trip. Enter distance, fuel efficiency, and price per litre. Compare multiple vehicles side by side.",2026-03-11,2026-03-11
tyre-size-calculator,Tyre Size Calculator,automotive,2,"Calculate tyre dimensions (width, diameter, circumference) from tyre size. Compare two tyres and see speedometer impact.",2026-03-11,2026-03-11
car-loan-calculator,Car Loan Calculator,automotive,2,"Calculate car loan payments, total interest, and total cost. See monthly breakdown and amortization schedule for your vehicle purchase.",2026-03-11,2026-03-11
font-pair-suggester,Font Pair Suggester,creative,2,Select a heading font from 20 Google Fonts. Get recommended complementary body fonts with live preview and CSS import code.,2026-03-11,2026-03-11
wedding-budget-calculator,Wedding Budget Calculator,wedding,2,"Allocate your wedding budget across venue, catering, photography, and more. Adjust percentages and see real-time breakdown.",2026-03-11,2026-03-11
wedding-countdown,Wedding Countdown,wedding,2,"Countdown to your wedding day with days, hours, minutes, and seconds. Includes planning milestones and checklist for each stage.",2026-03-11,2026-03-11
custom-countdown,Custom Countdown Timer,datetime,2,"Create a beautiful countdown to any date and time. Set an event name, target date, and watch the live countdown. Shows weeks, days, hours, minutes, and seconds.",2026-03-11,2026-03-11
new-year-countdown,New Year Countdown,seasonal,2,"Countdown to January 1st with a beautiful New Year themed display. Features year progress bar, fun facts about the year, and global New Year traditions.",2026-03-11,2026-03-11
birthday-countdown,Birthday Countdown,datetime,2,"Track the countdown to your next birthday. Shows your current age, zodiac sign, days lived, and fun birthday facts. Enter your birth month and day to get started.",2026-03-11,2026-03-11
retirement-countdown,Retirement Countdown,finance,2,"Calculate your countdown to retirement. Enter your date of birth and planned retirement age (or specific date). Shows working days remaining, career progress, and freedom stats.",2026-03-11,2026-03-11
baby-due-date-countdown,Baby Due Date Countdown,parenting,1,"Track your pregnancy journey with live countdown to baby's arrival. Shows weeks and days pregnant, current trimester, baby size comparison, and development milestones.",2026-03-11,2026-03-11
holiday-countdown,Holiday Countdown,travel,2,"Count down to your holiday with departure date and destination. Get packing reminder milestones, work days remaining, and a pre-trip checklist to stay organized.",2026-03-11,2026-03-11
qr-code-generator,QR Code Generator,developer,2,"Generate QR codes for website URLs and plain text. Download as PNG or SVG with custom colours. Free, instant, no sign-up required.",2026-03-11,2026-03-11
recipe-scaler,Recipe Scaler,cooking,2,"Scale any recipe up or down. Enter your ingredients, adjust servings, and get perfectly recalculated quantities. Quick buttons for doubling and halving.",2026-03-11,2026-03-11
cooking-time-calculator,Cooking Time Calculator,cooking,2,"Calculate roasting times for chicken, turkey, beef, lamb, pork and more. Enter the weight, select doneness, and get oven temperature, cooking time, resting time and a full timeline.",2026-03-11,2026-03-11
baking-substitution-finder,Baking Substitution Finder,cooking,2,"Find baking substitutions for eggs, butter, milk, sugar, flour and more. Filter by vegan, dairy-free, and gluten-free options with exact ratios and baking tips.",2026-03-11,2026-03-11
cake-tin-converter,Cake Tin Converter,cooking,2,"Convert cake recipes between different tin sizes and shapes. Round to square, 8 inch to 10 inch — get the exact ingredient multiplier and adjusted baking times.",2026-03-11,2026-03-11
coffee-ratio-calculator,Coffee Ratio Calculator,cooking,2,"Get the perfect coffee-to-water ratio for any brewing method. French press, pour over, espresso, cold brew and more. Adjust strength and units to your preference.",2026-03-11,2026-03-11
cups-to-grams-flour,Cups to Grams — Flour,cooking,3,"Convert cups of flour to grams and back. Quick reference table for plain, self-raising, bread, wholemeal, almond and coconut flour with accurate weights per cup.",2026-03-11,2026-03-11
cups-to-grams-sugar,Cups to Grams — Sugar,cooking,3,"Convert cups of sugar to grams and back. Covers granulated, caster, brown, icing and demerara sugar with accurate weights per cup.",2026-03-11,2026-03-11
cups-to-grams-butter,Cups to Grams — Butter,cooking,3,"Convert cups and sticks of butter to grams and back. Includes conversions for margarine, coconut oil, and other fats with exact weights.",2026-03-11,2026-03-11
cups-to-grams-rice,Cups to Grams — Rice,cooking,3,"Convert cups of rice to grams for perfect portions. Covers basmati, brown, arborio, sushi and wild rice with accurate weights per cup.",2026-03-11,2026-03-11
cups-to-grams-oats,Cups to Grams — Oats,cooking,3,"Convert cups of oats to grams and back. Covers rolled oats, quick oats, steel-cut oats and oat flour with accurate weights per cup.",2026-03-11,2026-03-11
paint-calculator,Paint Calculator,home,2,"Calculate how much paint you need for any room. Enter dimensions, deduct doors and windows, choose paint type and number of coats. Get tin sizes and cost estimates.",2026-03-11,2026-03-11
tile-calculator,Tile Calculator,home,2,"Calculate how many tiles, adhesive and grout you need. Enter your area, tile size, and laying pattern. Includes wastage allowance and cost estimates.",2026-03-11,2026-03-11
wallpaper-calculator,Wallpaper Calculator,home,2,"Calculate how many rolls of wallpaper you need. Accounts for pattern repeat, doors, windows, and different roll sizes. Never over-buy or under-buy again.",2026-03-11,2026-03-11
fence-calculator,Fence Calculator,home,2,"Calculate fence panels, posts, concrete and materials for your garden fence. Choose height, panel width, and add gates. Get a full shopping list with cost estimates.",2026-03-11,2026-03-11
gravel-calculator,Gravel Calculator,home,2,"Calculate how much gravel, aggregate or sand you need in tonnes and bags. Enter your area and depth, select material type, and get accurate quantities with cost estimates.",2026-03-11,2026-03-11
